序号,商品,链接,价钱,评论
1,Python编程 从入门到实践,https://item.jd.com/11993134.html,72.10,12万+
2,Python基础教程（第3版）,https://item.jd.com/12279949.html,80.20,12万+
3,PYTHON基础教程(第三版),https://item.jd.com/24675618191.html,72.00,800+
4,Effective Python：编写高质量Python代码的59个有效方法,https://item.jd.com/11864820.html,46.10,2400+
5,零基础学Python（全彩版）,https://item.jd.com/30123476517.html,39.90,20+
6,Python高级编程,https://item.jd.com/12067698.html,42.30,1000+
7,Python机器学习经典实例,https://item.jd.com/15566703912.html,43.00,40+
8,Python编程入门 全3册 Python编程从入门到实践 零基础入门学习 基础教程程序,https://item.jd.com/20101624082.html,160.90,30+
9,趣学Python编程,https://item.jd.com/11410467.html,41.40,1000+
10,【R】新书 Python数据科学手册 数据分析计算书籍 机器学习 NumPy数据存储 Ma,https://item.jd.com/31244717228.html,77.85,0
